17	Mo-Fr 8:00-19:00; Sa-Su 7:00-20:00
17	Mo-Fr 8:00-18:00; Sa-Su 8:00-8:00
17	Mo-Fr 8:00-18:00; Sa-Su 11:00-18:00
17	Mo-Fr 7:30-20:30; Sa-Su 7:30-19:30
17	Mo-Fr 7:30-19:30; Sa-Su 8:30-19:30
17	Mo-Fr 7:30-18:00; Sa-Su 8:00-18:00
17	Mo-Fr 7:00-20:30; Sa-Su 7:30-20:30
17	Mo-Fr 7:00-19:00;Sa-Su 7:00-19:00
17	Mo-Fr 10:00-18:00; Sa-Su 9:00-18:00
17	Mo-Fr 08:00-17:00; Sa Off; Su Off
17	Apr 1-Oct 31: "needs reservation by phone or web"
17	8:00-16:30
17	7:30-17:00
17	7:00 - 19:00
17	6:00-17:00
17	5:30-23:00
17	10am
16	su-fr 10:00-17:00
16	Sa-Su 9:00-22:05
16	Mo-Su 8:30-23:00
16	mo-sa 09:00-17:00
16	Mo-Fr 9:00-21:00; Sa-Su 10:00-21:00
16	Mo-Fr 9:00-19:00; Sa 9:00-15:00
16	Mo-Fr 9:00-13:00, 14:00-18:00
16	Mo-Fr 8:00-20:00; Sa-Su 9:00-19:00
16	Mo-Fr 8:00-20:00; Sa 8:00-14:00
16	Mo-Fr 8:00-19:00;Sa-Su 8:00-19:00
16	Mo-Fr 8:00-19:00; Sa-Su 10:00-18:00
16	Mo-Fr 7:30-18:30; Sa-Su 9:30-18:30
16	Mo-Fr 7:30-18:30; Sa-Su 10:30-18:30
16	Mo-Fr 7:00-8:00; Sa-Su 7:00-8:00
16	Mo-Fr 7:00-21:00; Sa-Su 7:00-20:00
16	Mo-Fr 6:00-16:00
16	Mo-Fr 06:00-16:30; Sa,Su,PH OFF
16	May 1 - Sep 30
16	Apr 1-Oct 15
16	Apr 01-Sep 30, sunrise-sunset open
16	8:30 - 17:30
16	7:00 - 20:00
16	7-18
16	6:00 - 20:00
15	Unknown
15	Su off; Jan 1 off "Nuevo Año"
15	open; oct 17-dec 06 closed
15	Mo-Su 9:00-21:30
15	Mo-Su 8:00-22:30
15	Mo-Su 6:30-22:00
15	Mo-Su 6:00-19:00
15	Mo-Su 11:00-2:00
15	mo-su 09:00-22:00
15	Mo-Sa 9:00-20:00; Su 9:00-18:00
15	Mo-Fr 9:30-17:30
15	Mo-Fr 9:00-19:00; Sa 9:00-14:00
15	Mo-Fr 9:00-18:30; Sa-Su 9:30-18:30
15	Mo-Fr 9:00-18:00; Sa 10:00-15:00
15	Mo-Fr 8:30-20:00; Sa-Su 8:00-20:00
15	Mo-Fr 8:30-19:30; Sa-Su 8:30-18:30
15	Mo-Fr 8:30-19:30; Sa-Su 10:30-19:30
15	Mo-Fr 8:30-17:30; Sa-Su 8:30-17:30
15	Mo-Fr 8:00-22:00; Sa-Su 8:00-22:00
15	Mo-Fr 8:00-19:00; Sa-Su 9:00-20:00
15	Mo-Fr 8:00-18:30; Sa-Su 9:00-18:30
15	Mo-Fr 8:00-18:00; Sa-Su 10:00-16:00
15	Mo-Fr 8:00-18:00; Sa 9:00-13:00
15	Mo-Fr 8:00-16:00; Sa 8:00-13:00
15	Mo-Fr 8:00-15:30
15	Mo-Fr 7:30-20:30; Sa-Su 8:30-20:30
15	Mo-Fr 7:30-19:00
15	Mo-Fr 7:00-19:00; Sa-Su 6:00-19:00
15	Mo-Fr 7:00-19:00; Sa-Su 10:00-19:00
15	Mo-Fr 6:30-18:00
15	Mo-Fr 6:00-20:00; Sa-Su 7:00-20:00
15	Mo-Fr 6:00-18:00; Sa-Su 7:00-18:00
15	Mo-Fr 09:00-18:00; Sa 9:00-13:00
15	May 01 - Oct 31 Mo-SU, PH 07:30-16:00 "bei gutem Wetter"
15	8:30-23:00
15	8:30-20:30
15	8:00-19:30
15	8:00 - 23:00
15	7:00 - 23:00
15	2022 Nov 8 06:00-20:00
15	10:00am
15	09:00-19:00; Sa,Su,PH 09:00-17:00; Dec 24 off; Dec 25 off; Jan 1 off; Dec 31 09:00-15:00
14	Su[2,4] 9:30
14	Su 9:15
14	Su 8:30
14	Monday-Saturday 10 AM
14	Mo-Su 7:30-21:00
14	Mo-Su 6:00-22:30
14	Mo-Su 5:00-22:00
14	Mo-Su 11:00-1:00
